"File","Lines","Extension"
"compat_layer\dll\appcompat\apphelp\sdbstringtable.c","191",".c"
"compat_layer\dll\appcompat\apphelp\sdbstringtable.h","46",".h"
"compat_layer\dll\appcompat\apphelp\sdbwrite.c","354",".c"
"compat_layer\dll\appcompat\apphelp\sdbwrite.h","34",".h"
"compat_layer\dll\appcompat\apphelp\shimeng.c","1536",".c"
"compat_layer\dll\appcompat\apphelp\shimeng.h","107",".h"
"compat_layer\dll\appcompat\shims\genral\ignoredbgout.c","33",".c"
"compat_layer\dll\appcompat\shims\genral\ignorefreelib.c","144",".c"
"compat_layer\dll\appcompat\shims\genral\main.c","38",".c"
"compat_layer\dll\appcompat\shims\genral\msys2.c","46",".c"
"compat_layer\dll\appcompat\shims\genral\shimtest.c","88",".c"
"compat_layer\dll\appcompat\shims\genral\themes.c","35",".c"
"compat_layer\dll\appcompat\shims\layer\dispmode.c","69",".c"
"compat_layer\dll\appcompat\shims\layer\forcedxsetupsuccess.c","201",".c"
"compat_layer\dll\appcompat\shims\layer\globalmemorystatus.c","39",".c"
"compat_layer\dll\appcompat\shims\layer\ignoreloadlibrary.c","80",".c"
"compat_layer\dll\appcompat\shims\layer\main.c","38",".c"
"compat_layer\dll\appcompat\shims\layer\versionlie.c","266",".c"
"compat_layer\dll\appcompat\shims\layer\vmhorizon.c","142",".c"
"compat_layer\dll\appcompat\shims\shimlib\shimlib.c","248",".c"
"compat_layer\dll\appcompat\shims\shimlib\shimlib.h","103",".h"
"compat_layer\dll\win32\dbghelp\compat.c","512",".c"
"compat_layer\dll\win32\kernel32\client\vdm.c","2015",".c"
"compat_layer\dll\win32\kernel32\include\vdm.h","69",".h"
"compat_layer\dll\win32\shlwapi\appcompat.c","472",".c"
"compat_layer\modules\rosapps\applications\devutils\shimdbg\shimdbg.c","398",".c"
"compat_layer\modules\rostests\apitests\apphelp\apphelp.c","1280",".c"
"compat_layer\modules\rostests\apitests\apphelp\apphelp_apitest.h","95",".h"
"compat_layer\modules\rostests\apitests\apphelp\data.c","848",".c"
"compat_layer\modules\rostests\apitests\apphelp\db.cpp","2158",".cpp"
"compat_layer\modules\rostests\apitests\apphelp\env.c","1476",".c"
